externalPersonKey	personnelNumber	fullNameRu	fullNameKz	positionRu	positionKz	departmentRu	departmentKz	workplaceRu	workplaceKz
DEMO-P001	000001	Демонстрационный Слушатель 001	Демонстрациялық Тыңдаушы 001	Тестовый оператор	Сынақ операторы	Демонстрационный участок 1	Демонстрациялық учаске 1	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P002	000002	Демонстрационный Слушатель 002	Демонстрациялық Тыңдаушы 002	Тестовый мастер	Сынақ шебері	Демонстрационный участок 1	Демонстрациялық учаске 1	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P003	000003	Демонстрационный Слушатель 003	Әғқңөұүһі Демонстрациялық Тыңдаушы 003	Тестовый специалист	Сынақ маманы	Демонстрационный участок 1	Демонстрациялық учаске 1	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P004	000004	Демонстрационный Слушатель 004	Демонстрациялық Тыңдаушы 004	Тестовый механик	Сынақ механигі	Демонстрационный участок 1	Демонстрациялық учаске 1	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P005	000005	Демонстрационный Слушатель 005	Демонстрациялық Тыңдаушы 005	Тестовый оператор	Сынақ операторы	Демонстрационный участок 1	Демонстрациялық учаске 1	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P006	000006	Демонстрационный Слушатель 006	Демонстрациялық Тыңдаушы 006	Тестовый мастер	Сынақ шебері	Демонстрационный участок 1	Демонстрациялық учаске 1	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P007	000007	Демонстрационный Слушатель 007	Демонстрациялық Тыңдаушы 007	Тестовый специалист	Сынақ маманы	Демонстрационный участок 1	Демонстрациялық учаске 1	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P008	000008	Демонстрационный Слушатель 008	Демонстрациялық Тыңдаушы 008	Тестовый механик	Сынақ механигі	Демонстрационный участок 1	Демонстрациялық учаске 1	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P009	000009	Демонстрационный Однофамилец	Демонстрациялық Аттас Тыңдаушы	Тестовый оператор	Сынақ операторы	Демонстрационный участок 1	Демонстрациялық учаске 1	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P010	000010	Демонстрационный Однофамилец	Демонстрациялық Аттас Тыңдаушы	Тестовый мастер	Сынақ шебері	Демонстрационный участок 1	Демонстрациялық учаске 1	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
